MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,,Abrasives,Coated Abrasives,Sanding Belts,,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",,,,Freud Inc (2435),"Freud America, Inc.",Diablo®,,DCB518ASTS06G,,Abrasives & Polishing>Coated Abrasives>Sanding Belts,"Freud America, Inc., Diablo, Sanding Belt, DCB518ASTS06G","SANDING BELT 1/2""V ALUMINUM OXIDEA DCB51","Diablo®, DCB518ASTS06G, Sanding Belt, 6 Mounting","Diablo® Sanding Belt Model DCB518ASTS06G. Outer Diameter: 518 in in, Thickness: 06 in in, Arbor Size: 1/2"" in, Abrasive Material: Aluminum Oxide, Package Quantity: 6 pc","Sanding Belt, 6 Mounting",,,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Belt,Grit,,,Outer Diameter,518 in,in,Thickness,06 in,in,Arbor Size,"1/2""",in,Abrasive Material,Aluminum Oxide,,Package Quantity,6,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M®,,3MABR-7100075678,,Industrial & Commercial Supplies>Hardware>General Hardware,"3M Company, 3M, Industrial Hardware, P150, 3MABR-7100075678",INDUSTRIAL HARDWARE 150V CUBITRON IIA 3M,"3M®, P150, 3MABR-7100075678, Industrial Hardware, 50 Mounting","3M® Industrial Hardware Model 3MABR-7100075678. Grit: P150, Outer Diameter: 3 in in, Thickness: 775 in in, Arbor Size: 150 in, Abrasive Material: Cubitron II, Package Quantity: 50 pc","P150, Industrial Hardware, 50 Mounting",,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Grit,P150,,Outer Diameter,3 in,in,Thickness,775 in,in,Arbor Size,150,in,Abrasive Material,Cubitron II,,Package Quantity,50,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M®,,3MABR-7100045865,,Industrial & Commercial Supplies>Hardware>General Hardware,"3M Company, 3M, Industrial Hardware, P120, 3MABR-7100045865",INDUSTRIAL HARDWARE 120V CUBITRON IIA 3M,"3M®, P120, 3MABR-7100045865, Industrial Hardware, 50 Mounting","3M® Industrial Hardware Model 3MABR-7100045865. Grit: P120, Outer Diameter: 3 in in, Thickness: 775 in in, Arbor Size: 120 in, Abrasive Material: Cubitron II, Package Quantity: 50 pc","P120, Industrial Hardware, 50 Mounting",,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Grit,P120,,Outer Diameter,3 in,in,Thickness,775 in,in,Arbor Size,120,in,Abrasive Material,Cubitron II,,Package Quantity,50,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M®,,3MABR-7100048736,,Industrial & Commercial Supplies>Hardware>General Hardware,"3M Company, 3M, Industrial Hardware, P80, 3MABR-7100048736",INDUSTRIAL HARDWARE 80V CUBITRON IIA 3MA,"3M®, P80, 3MABR-7100048736, Industrial Hardware, 50 Mounting","3M® Industrial Hardware Model 3MABR-7100048736. Grit: P80, Outer Diameter: 3 in in, Thickness: 775 in in, Arbor Size: 80 in, Abrasive Material: Cubitron II, Package Quantity: 50 pc","P80, Industrial Hardware, 50 Mounting",,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Grit,P80,,Outer Diameter,3 in,in,Thickness,775 in,in,Arbor Size,80,in,Abrasive Material,Cubitron II,,Package Quantity,50,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M®,,3MABR-7100075690,,Industrial & Commercial Supplies>Hardware>General Hardware,"3M Company, 3M, Industrial Hardware, P180, 3MABR-7100075690",INDUSTRIAL HARDWARE 180V CUBITRON IIA 3M,"3M®, P180, 3MABR-7100075690, Industrial Hardware, 50 Mounting","3M® Industrial Hardware Model 3MABR-7100075690. Grit: P180, Outer Diameter: 3 in in, Thickness: 775 in in, Arbor Size: 180 in, Abrasive Material: Cubitron II, Package Quantity: 50 pc","P180, Industrial Hardware, 50 Mounting",,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Grit,P180,,Outer Diameter,3 in,in,Thickness,775 in,in,Arbor Size,180,in,Abrasive Material,Cubitron II,,Package Quantity,50,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M®,,3MABR-7100075692,,Industrial & Commercial Supplies>Hardware>General Hardware,"3M Company, 3M, Industrial Hardware, P220, 3MABR-7100075692",INDUSTRIAL HARDWARE 220V CUBITRON IIA 3M,"3M®, P220, 3MABR-7100075692, Industrial Hardware, 50 Mounting","3M® Industrial Hardware Model 3MABR-7100075692. Grit: P220, Outer Diameter: 3 in in, Thickness: 775 in in, Arbor Size: 220 in, Abrasive Material: Cubitron II, Package Quantity: 50 pc","P220, Industrial Hardware, 50 Mounting",,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Grit,P220,,Outer Diameter,3 in,in,Thickness,775 in,in,Arbor Size,220,in,Abrasive Material,Cubitron II,,Package Quantity,50,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M®,,3MABR-7100145365,,Industrial & Commercial Supplies>Hardware>General Hardware,"3M Company, 3M, Industrial Hardware, P320, 3MABR-7100145365",INDUSTRIAL HARDWARE 320V CUBITRON IIA 3M,"3M®, P320, 3MABR-7100145365, Industrial Hardware, 50 Mounting","3M® Industrial Hardware Model 3MABR-7100145365. Grit: P320, Outer Diameter: 3 in in, Thickness: 775 in in, Arbor Size: 320 in, Abrasive Material: Cubitron II, Package Quantity: 50 pc","P320, Industrial Hardware, 50 Mounting",,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Grit,P320,,Outer Diameter,3 in,in,Thickness,775 in,in,Arbor Size,320,in,Abrasive Material,Cubitron II,,Package Quantity,50,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,5B-332-080,"5B-332-080 HIOLIT 5"" P80",,,,Mirka Abrasives Inc (MIRUS),Mirka USA Inc.,Mirka®,,5B-332-080,,Industrial & Commercial Supplies>Hardware>General Hardware,"Mirka USA Inc., Mirka, Industrial Hardware, 5B-332-080",INDUSTRIAL HARDWARE 5B-332-080,"Mirka®, 5B-332-080, Industrial Hardware",Mirka® Industrial Hardware Model 5B-332-080. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,5B-332-120,"5B-332-120 HIOLIT 5"" P120",,,,Mirka Abrasives Inc (MIRUS),Mirka USA Inc.,Mirka®,,5B-332-120,,Industrial & Commercial Supplies>Hardware>General Hardware,"Mirka USA Inc., Mirka, Industrial Hardware, 5B-332-120",INDUSTRIAL HARDWARE 5B-332-120,"Mirka®, 5B-332-120, Industrial Hardware",Mirka® Industrial Hardware Model 5B-332-120. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,9A-570-240,9A-570-240 Abranet 2.75x30,,,,Mirka Abrasives Inc (MIRUS),Mirka USA Inc.,Mirka®,,9A-570-240,,Industrial & Commercial Supplies>Hardware>General Hardware,"Mirka USA Inc., Mirka, Industrial Hardware, 9A-570-240",INDUSTRIAL HARDWARE 9A-570-240,"Mirka®, 9A-570-240, Industrial Hardware",Mirka® Industrial Hardware Model 9A-570-240. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
